Date,Open,High,Low,Close,Adj Close,Volume
10-04-1986,12.555555,12.722222,12.555555,12.583333,4.910388,1619000
11-04-1986,12.583333,12.666667,12.555555,12.583333,4.910388,1270800
14-04-1986,12.583333,12.638889,12.527778,12.583333,4.910388,1000200
15-04-1986,12.583333,12.75,12.555555,12.666667,4.942906,1523600
16-04-1986,12.805555,13,12.805555,12.972222,5.062144,1623000
17-04-1986,13,13.194445,13,13.138889,5.127181,2586600
18-04-1986,13.138889,13.194445,12.666667,12.972222,5.062144,1719800
21-04-1986,12.972222,13.111111,12.888889,13.055555,5.094665,1242000
22-04-1986,13.055555,13.166667,12.722222,12.888889,5.029627,1238600
23-04-1986,12.888889,12.916667,12.777778,12.916667,5.040464,1066800
24-04-1986,12.916667,12.972222,12.666667,12.694445,4.953746,1791000
25-04-1986,12.694445,12.75,12.527778,12.527778,4.888707,1867400
28-04-1986,12.527778,12.944445,12.527778,12.944445,5.051301,1596000
29-04-1986,12.944445,13.027778,12.666667,12.805555,4.997108,2080800
30-04-1986,12.805555,12.888889,12.5,12.5,4.877867,2851200
01-05-1986,12.5,12.555555,12.222222,12.361111,4.82367,2949600
02-05-1986,12.361111,12.444445,12.222222,12.305555,4.801991,2020800
05-05-1986,12.305555,12.722222,12.305555,12.694445,4.953746,4013000
06-05-1986,12.694445,12.888889,12.666667,12.75,5.028344,2310600
07-05-1986,12.75,12.777778,12.5,12.5,4.929749,1478000
08-05-1986,12.5,12.694445,12.472222,12.638889,4.984525,1229400
09-05-1986,12.638889,12.777778,12.555555,12.777778,5.039301,1038000
12-05-1986,12.75,12.75,12.611111,12.722222,5.01739,1157600
13-05-1986,12.666667,12.666667,12.388889,12.5,4.929749,1614000
14-05-1986,12.5,12.527778,12.388889,12.388889,4.885929,1682000
15-05-1986,12.388889,12.388889,12.222222,12.25,4.831154,1098200
16-05-1986,12.25,12.25,12.055555,12.055555,4.754472,1933200
19-05-1986,12.055555,12.166667,11.888889,12.083333,4.765427,2314800
20-05-1986,12.083333,12.305555,12.027778,12.305555,4.853066,1783800
21-05-1986,12.305555,12.388889,12.305555,12.361111,4.874975,1690200
22-05-1986,12.416667,12.722222,12.416667,12.722222,5.01739,1790000
23-05-1986,12.75,13,12.75,12.833333,5.061208,1819200
27-05-1986,12.833333,13.027778,12.75,13,5.126944,1616400
28-05-1986,13,13.083333,12.888889,12.916667,5.094073,1472400
29-05-1986,12.916667,12.944445,12.805555,12.944445,5.105029,1304400
